Wall time,Step,Value
1652516802.0252364,63622,18.0
1652516817.010867,63905,45.0
1652516826.7971284,64091,43.0
1652516871.187349,64928,48.0
1652516896.96136,65417,67.0
1652516898.3285468,65445,26.0
1652516912.185944,65722,59.0
1652516918.1996093,65841,67.0
1652516919.1081512,65858,103.0
1652516922.5808775,65933,103.0
1652516923.4784272,65956,57.0
1652516939.182727,66230,102.0
1652516943.242045,66292,102.0
1652516961.2380557,66652,32.0
1652516961.9257054,66664,103.0
1652516962.7054346,66680,14.0
1652517002.49927,67511,45.0
1652517017.9906101,67834,21.0
1652517021.0607395,67898,26.0
1652517025.6695895,67994,102.0
1652517035.4380167,68188,27.0
1652517047.9064686,68438,47.0
1652517054.8094087,68587,41.0
1652517056.2507608,68619,20.0
1652517066.2011142,68826,22.0
1652517077.3034053,69066,21.0
1652517094.9674714,69460,19.0
1652517103.1556435,69640,41.0
1652517129.515098,70195,33.0
1652517136.672765,70360,23.0
1652517147.0574014,70588,59.0
1652517159.5083308,70875,34.0
1652517172.8477368,71159,102.0
1652517174.9149182,71206,24.0
1652517177.074407,71256,14.0
1652517195.4101577,71694,37.0
1652517221.9397066,72289,34.0
1652517233.6153543,72550,34.0
1652517265.2423153,73204,33.0
1652517278.1538186,73453,102.0
1652517298.9208276,73922,102.0
1652517310.7367904,74192,26.0
1652517334.57952,74756,33.0
1652517345.4266217,75005,15.0
1652517350.1619637,75110,26.0
1652517352.2288108,75146,58.0
1652517368.7170994,75442,54.0
1652517371.43421,75497,31.0
1652517374.2611372,75565,18.0
1652517437.3495352,77012,38.0
1652517461.4982865,77609,26.0
1652517476.599133,77950,24.0
1652517482.382902,78089,61.0
1652517488.2192564,78229,32.0
1652517495.9520252,78423,61.0
1652517496.4460728,78435,56.0
1652517522.3113685,79060,47.0
1652517526.6142209,79178,27.0
1652517528.718057,79230,23.0
1652517541.6036065,79554,34.0
1652517554.276603,79865,40.0
1652517578.8904555,80473,70.0
1652517579.6392183,80493,40.0
1652517624.6912048,81615,24.0
1652517628.5842588,81721,32.0
1652517658.9657347,82482,22.0
1652517687.9021113,83176,14.0
1652517693.3242736,83324,28.0
1652517710.783163,83795,102.0
1652517715.159113,83904,42.0
1652517729.2993639,84281,15.0
1652517752.8704798,84858,29.0
1652517781.9139154,85605,102.0
1652517807.5765293,86222,32.0
1652517814.489721,86402,18.0
1652517815.2655172,86421,53.0
1652517824.038286,86658,14.0
1652517833.0668347,86894,17.0
1652517834.6604688,86939,23.0
1652517848.2479663,87321,24.0
1652517862.0522249,87688,22.0
1652517866.1383338,87794,34.0
1652517870.3843043,87909,23.0
1652517882.7421794,88224,37.0
1652517894.615488,88557,14.0
1652517904.4213357,88832,17.0
1652517940.2863314,89753,23.0
1652517950.6866019,90044,36.0
1652517954.6247625,90141,28.0
1652517955.8117626,90172,19.0
1652517979.545644,90806,32.0
1652517980.2516432,90822,63.0
1652517982.8251605,90900,16.0
1652518001.11474,91420,17.0
1652518012.634517,91737,13.0
1652518016.2267349,91850,15.0
1652518030.2482653,92253,26.0
1652518030.7189162,92266,26.0
1652518050.556757,92751,90.0
1652518088.4429636,93759,31.0
1652518088.7050493,93767,22.0
1652518097.9527173,94013,15.0
1652518114.6995869,94471,22.0
1652518129.7079782,94873,31.0
1652518138.0326545,95084,39.0
1652518143.7431345,95237,26.0
1652518163.7755623,95778,36.0
1652518268.578194,98645,14.0
1652518283.3886445,99068,22.0
1652518292.628527,99341,9.0
1652518295.0702343,99420,14.0
1652518323.1546023,100240,102.0
1652518337.5092432,100658,22.0
1652518342.212756,100796,12.0
1652518346.700135,100934,13.0
1652518351.7520528,101100,30.0
1652518354.1493256,101175,29.0
1652518359.0059552,101315,30.0
1652518366.1980853,101501,23.0
1652518390.2955964,102161,32.0
1652518390.471296,102166,19.0
1652518393.410855,102247,15.0
1652518402.7787416,102509,25.0
1652518413.8606207,102806,15.0
1652518428.6852045,103236,16.0
1652518438.2644014,103508,15.0
1652518452.0108635,103917,19.0
1652518469.092954,104340,14.0
1652518469.353142,104347,16.0
1652518471.9274137,104413,17.0
1652518473.63636,104462,17.0
1652518497.270913,105077,35.0
1652518505.0243905,105298,12.0
1652518513.4144907,105524,16.0
1652518516.3706176,105613,29.0
1652518520.982787,105722,22.0
1652518523.9099886,105798,14.0
1652518542.5834432,106341,19.0
1652518543.323395,106363,13.0
1652518548.1371424,106481,21.0
1652518562.6291418,106901,10.0
1652518564.7609477,106967,15.0
1652518569.4983997,107116,9.0
1652518574.7617326,107292,10.0
1652518585.2895076,107625,44.0
1652518590.067603,107782,27.0
1652518592.5567756,107868,11.0
1652518595.0920038,107952,23.0
1652518633.4658468,109140,18.0
1652518635.380536,109204,18.0
1652518644.914794,109499,12.0
1652518659.6003828,109914,102.0
1652518663.7171862,110026,14.0
1652518664.4604168,110048,13.0
1652518679.0201278,110500,13.0
1652518699.6630435,111013,9.0
1652518714.591904,111265,18.0
1652518715.917803,111313,7.0
1652518716.9128969,111343,30.0
1652518735.9256258,111963,12.0
1652518750.6672797,112423,26.0
1652518751.792887,112448,8.0
1652518755.0754712,112532,16.0
1652518826.5186062,114204,26.0
1652518832.0129251,114363,14.0
1652518832.314344,114373,21.0
1652518845.5892646,114769,20.0
1652518848.0010304,114839,9.0
1652518863.1798728,115362,18.0
1652518865.1502242,115427,36.0
1652518871.0068102,115634,37.0
1652518871.9406195,115662,11.0
1652518886.9974065,116158,23.0
1652518887.0257835,116159,16.0
1652518890.0810256,116254,103.0
1652518900.011616,116594,11.0
1652518900.1464307,116598,26.0
1652518934.0118842,117764,18.0
1652518959.5759556,118575,9.0
1652518961.7501814,118652,18.0
1652518973.7914107,119025,17.0
1652518979.3132634,119203,19.0
1652518988.1314557,119508,12.0
1652519009.8485813,120278,13.0
1652519011.975277,120345,17.0
1652519016.68346,120512,22.0
1652519030.770328,120994,18.0
1652519048.6354744,121571,15.0
1652519077.545899,122463,16.0
1652519082.0351577,122591,14.0
1652519083.7866607,122646,13.0
1652519092.7271764,122905,8.0
1652519106.818976,123282,12.0
1652519112.8834696,123454,17.0
1652519130.3978763,123974,16.0
1652519137.5000494,124180,16.0
1652519151.4815028,124600,11.0
1652519168.680807,125084,26.0
1652519169.4389224,125110,20.0
1652519180.8651483,125464,28.0
1652519192.0450702,125793,8.0
1652519205.3520284,126139,10.0
1652519228.5895243,126859,14.0
1652519252.252794,127611,15.0
1652519287.6629624,128664,12.0
1652519289.505285,128712,18.0
1652519296.156678,128922,8.0
1652519306.8154712,129285,13.0
1652519307.416707,129305,13.0
1652519308.0951047,129330,20.0
1652519313.6758964,129521,10.0
1652519317.4548154,129654,7.0
1652519337.5921967,130302,26.0
1652519359.6280675,131002,6.0
1652519365.2171679,131209,9.0
1652519386.1971571,132004,24.0
1652519404.2493722,132653,11.0
1652519413.1019888,132971,102.0
1652519418.7356932,133179,18.0
1652519467.9050736,134950,14.0
1652519469.5745518,135005,19.0
